manager,seasons_played,first_season,last_season,total_wins,total_losses,total_ties,championships,playoff_apps,playoff_wins,playoff_losses,best_finish,avg_finish,total_moves,total_trades,career_exp_wins,career_exp_losses,career_luck_wins,career_avg_ppw_against,win_pct,career_avg_ppw,career_total_pts,career_sos,career_avg_pts_left_per_week,career_draft_overperformance,career_trade_value
kevin mc,18,2008,2025,134,105,0,5,14,23,11,1,3.7,351,6,146,93,-12,100.79,0.561,106.26,25175.47,100.25,13.37,203.9,50.6
Jacob,18,2008,2025,133,106,0,3,13,19,12,1,4.2,206,2,137,102,-4,99.98,0.556,104.97,25030.13,99.78,12.07,2066.6,38.2
Branden,12,2014,2025,86,75,0,2,8,9,9,1,5.0,339,2,89,72,-3,101.03,0.534,104.27,16822.57,99.19,15.9,633.0,-144.4
Bennett,14,2012,2025,89,98,0,2,6,10,5,1,6.4,113,1,83,104,6,100.1,0.476,96.01,18037.93,100.93,14.6,233.7,60.7
Hidden: stafford infection,1,2010,2010,6,7,0,1,True,3,0,1,1.0,10,0,8,5,-2,108.67,0.462,109.21,1433.6,101.84,,0.0,0.0
Toby,6,2008,2013,42,36,0,1,5,9,4,1,3.5,126,1,44,34,-2,100.44,0.538,106.34,8190.45,100.87,16.04,-441.0,-87.3
Derek,15,2011,2025,99,101,0,1,10,10,13,1,5.5,242,4,91,109,8,99.91,0.495,98.89,19845.4,100.85,14.0,-1289.3,-138.2
K&E,11,2015,2025,66,82,0,1,6,9,6,1,6.0,136,0,58,90,8,97.98,0.446,94.75,14049.84,100.61,13.85,-322.0,0.0
Gucker,16,2010,2025,95,118,0,1,8,7,11,1,6.2,228,2,92,121,3,101.11,0.446,100.92,21438.79,101.16,14.32,-35.7,57.5
Zoysia88,7,2008,2014,35,56,0,1,2,4,2,1,6.7,69,5,35,56,0,103.84,0.385,95.16,8722.95,102.7,19.07,273.3,87.3
Rick,5,2009,2013,33,32,0,0,3,4,4,2,5.4,41,0,40,25,-7,103.78,0.508,106.04,6929.85,102.96,15.32,176.1,0.0
Devins,2,2008,2009,15,11,0,0,2,1,3,5,5.5,36,0,17,9,-2,101.76,0.577,100.54,2663.55,98.46,,0.0,0.0
John Stockton,18,2008,2025,130,109,0,0,11,8,15,2,5.7,471,1,122,117,8,100.79,0.544,102.96,24425.89,100.11,14.44,-749.4,96.4
Endler,17,2009,2025,119,107,0,0,11,6,17,2,5.8,326,3,109,117,10,99.09,0.527,99.62,22611.39,100.83,15.86,43.5,-94.3
Erik,12,2014,2025,74,87,0,0,6,3,11,4,6.5,222,2,72,89,2,102.32,0.46,97.15,15773.03,100.39,14.35,-792.1,73.6
Hidden: The Bastards,2,2010,2011,14,12,0,0,1,1,1,3,6.5,4,1,10,16,4,98.56,0.538,93.28,2435.7,102.78,,0.0,0.0
Hidden: stoop kid,2,2008,2009,12,14,0,0,1,0,2,4,7.0,13,0,10,16,2,94.45,0.462,90.46,2381.05,99.96,,0.0,0.0
Hidden: Ringer4heisman,1,2008,2008,6,7,0,0,False,0,0,8,8.0,3,0,4,9,2,90.97,0.462,84.85,1103.0,97.8,,0.0,0.0
Hidden: McCain Palin '08,1,2008,2008,5,8,0,0,False,0,0,9,9.0,0,0,3,10,2,92.06,0.385,81.82,1063.6,97.31,,0.0,0.0
Hidden: Spartan Testicles,1,2009,2009,2,11,0,0,False,0,0,9,9.0,0,0,1,12,1,103.15,0.154,88.37,1148.75,104.13,,0.0,0.0
Hidden: big cats,1,2008,2008,0,13,0,0,False,0,0,10,10.0,4,0,1,12,-1,113.78,0.0,74.25,965.3,97.62,,0.0,0.0
