manager,is_keeper,seasons_played,first_season,last_season,total_wins,total_losses,total_ties,championships,playoff_apps,playoff_wins,playoff_losses,best_finish,avg_finish,total_moves,total_trades,total_points_for,win_pct,avg_ppw,exp_wins,exp_losses,luck_wins,exp_win_rate,avg_pts_left_per_week,draft_overperformance,avg_sos
Bennett,0,4,2012,2015,22,30,0,0,1,2,1,2,7.5,29,1,5014.1,0.423,96.26,24,28,-2,0.462,18.92,342.8,102.77
Bennett,1,10,2016,2025,67,68,0,2,5,8,4,1,6.0,84,0,13023.83,0.496,95.92,59,76,8,0.437,12.87,-109.1,100.19
Branden,0,2,2014,2015,12,14,0,0,1,1,1,5,7.5,46,1,2645.3,0.462,101.02,10,16,2,0.385,20.48,-91.3,101.71
Branden,1,10,2016,2025,74,61,0,2,7,8,8,1,4.5,293,1,14177.27,0.548,104.92,79,56,-5,0.585,14.99,724.3,98.69
Derek,0,5,2011,2015,37,28,0,1,5,5,7,1,3.6,69,4,6930.7,0.569,104.46,33,32,4,0.508,18.52,163.6,101.79
Derek,1,10,2016,2025,62,73,0,0,5,5,6,2,6.4,173,0,12914.7,0.459,96.11,58,77,4,0.43,12.2,-1452.9,100.39
Endler,0,7,2009,2015,43,48,0,0,5,3,8,3,6.3,90,1,9056.75,0.473,99.33,39,52,4,0.429,20.45,194.8,102.93
Endler,1,10,2016,2025,76,59,0,0,6,3,9,2,5.5,236,2,13554.64,0.563,99.83,70,65,6,0.519,14.02,-151.3,99.35
Erik,0,2,2014,2015,12,14,0,0,1,1,1,5,6.0,46,2,2592.2,0.462,99.32,12,14,0,0.462,13.5,-83.4,102.48
Erik,1,10,2016,2025,62,73,0,0,5,2,10,4,6.6,176,0,13180.83,0.459,96.71,60,75,2,0.444,14.52,-708.7,99.97
Gucker,0,6,2010,2015,29,49,0,0,2,0,4,6,7.2,80,2,7671.7,0.372,99.84,30,48,-1,0.385,14.66,-314.0,103.5
Gucker,1,10,2016,2025,66,69,0,1,6,7,7,1,5.7,148,0,13767.09,0.489,101.57,62,73,4,0.459,14.19,278.3,99.76
Jacob,0,8,2008,2015,58,46,0,1,5,6,5,1,5.1,86,1,10980.55,0.558,104.98,56,48,2,0.538,14.42,1089.1,100.68
Jacob,1,10,2016,2025,75,60,0,2,8,13,7,1,3.5,120,1,14049.58,0.556,104.95,81,54,-6,0.6,11.12,977.5,99.07
John Stockton,0,8,2008,2015,59,45,0,0,5,5,6,2,5.1,171,1,11152.1,0.567,108.03,59,45,0,0.567,14.49,-17.2,101.16
John Stockton,1,10,2016,2025,71,64,0,0,6,3,9,2,6.2,300,0,13273.79,0.526,98.9,63,72,8,0.467,14.42,-732.2,99.26
K&E,0,1,2015,2015,6,7,0,0,False,0,0,8,8.0,21,0,1159.35,0.462,87.72,3,10,3,0.231,16.77,-505.1,103.29
K&E,1,10,2016,2025,60,75,0,1,6,9,6,1,5.8,115,0,12890.49,0.444,95.45,55,80,5,0.407,13.56,183.1,100.34
kevin mc,0,8,2008,2015,72,32,0,3,8,11,7,1,2.2,116,4,11554.95,0.692,111.62,73,31,-1,0.702,17.23,672.3,101.26
kevin mc,1,10,2016,2025,62,73,0,2,6,12,4,1,4.8,235,2,13620.52,0.459,101.97,73,62,-11,0.541,11.82,-468.4,99.44
